Realm Name,Export Time,PMktPrice Date,Reserved,Item ID,Item Name,AH MarketPrice Coppers,AH Quantity,AH MarketPrice,AH MinimumPrice,14-day Median Market Price,Median Market Price StdDev,14-day Todays PMktPrice,PMktPrice StdDev,Daily Price Change,Avg Daily Posted,Avg Estimated Daily Sold,Estimated Demand
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4296,Pattern: Dark Leather Shoulders,660000,1,66,66,15,18.1,36.71,15.19,0.1154,5,0.07,0.014
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4297,Pattern: Barbaric Gloves,0,0,0,0,60,1105.23,1668.64,766.43,0.1272,1.64,0.21,0.128
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4298,Pattern: Guardian Belt,17521500,2,1752.15,1752.15,1774.7,282.79,1297.96,164.27,-0.0292,4.79,0.14,0.0292
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4299,Pattern: Guardian Armor,0,0,0,0,150,453.14,15,442.71,-0.1532,2.14,0.07,0.0327
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4300,Pattern: Guardian Leather Bracers,205379,3,20.5379,20.5379,100,87.59,0.74,54.66,-0.1528,7.71,0.07,0.0091
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4301,Pattern: Barbaric Belt,0,0,0,0,3571.98,990.55,3998.98,916.94,0.0266,1.36,0.07,0.0515
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4304,Thick Leather,22300,2368,2.23,1.8,3.75,0.98,2.7,0.86,-0.0324,3628.64,1447,0.3988
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4305,Bolt of Silk Cloth,119000,769,11.9,8.7499,13,2.76,12.84,2.84,-0.0047,1288.64,389.64,0.3024
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4306,Silk Cloth,27500,1729,2.75,1.0699,1.78,0.37,1.82,0.38,0.0063,9585.29,4842,0.5051
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4307,Heavy Linen Gloves,0,0,0,0,10,4.01,4.85,3.2,-0.0601,5,0.29,0.058
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4308,Green Linen Bracers,0,0,0,0,0.02,0,0.03,0,42.8571,0.21,0.21,1
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4309,Handstitched Linen Britches,44443,1,4.4443,4.4443,5.25,1.56,5.79,1.37,0.0362,1.79,0.86,0.4804
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4310,Heavy Woolen Gloves,6794755,5,679.4755,679.4755,103.21,225.14,296.06,206.78,0.0771,6.86,0.29,0.0423
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4312,Soft-Soled Linen Boots,0,0,0,0,200,158.87,8.25,74.1,-0.1663,0.36,0.14,0.3889
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4314,Double-Stitched Woolen Shoulders,349999,22,34.9999,25,3.33,17.63,20.78,15.27,0.1075,18.79,6.57,0.3497
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4316,Heavy Woolen Pants,60000,5,6,6,9.21,1.18,8.44,0.96,-0.0159,1.86,0.07,0.0376
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4317,Phoenix Pants,1450000,1,145,145,145,0,145,0,0,0.5,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4318,Gloves of Meditation,0,0,0,0,444.66,0,444.66,0,0,0.21,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4320,Spidersilk Boots,2750000,1,275,275,250,27.58,253.68,18.81,0.0112,1.86,0.21,0.1129
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4322,Enchanter's Cowl,0,0,0,0,100,0,100,0,0,2.93,0.07,0.0239
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4323,Shadow Hood,0,0,0,0,100,0,100,0,0,1.29,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4324,Azure Silk Vest,110000,2,11,11,59.47,7.52,43.42,1.94,-0.0248,0.57,0.07,0.1228
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4327,Icy Cloak,0,0,0,0,500,0,500,0,0,2.07,0.36,0.1739
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4330,Stylish Red Shirt,284862,20,28.4862,25.8079,33,13.45,13.64,9.68,-0.0681,7.71,1.07,0.1388
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4332,Bright Yellow Shirt,1997500,2,199.75,199.75,300,63.01,182.51,18.31,-0.0399,9.14,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4333,Dark Silk Shirt,995000,1,99.5,99.5,300,94.38,148.01,56.03,-0.0553,4.93,0.5,0.1014
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4334,Formal White Shirt,17500,12,1.75,1.75,1,1.76,0.34,1.16,-0.1366,16,1.86,0.1162
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4335,Rich Purple Silk Shirt,0,0,0,0,300,41.88,251.04,34.57,-0.0147,3.64,0.21,0.0577
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4336,Black Swashbuckler's Shirt,1757500,1,175.75,175.75,300,74.73,160.05,21.72,-0.0496,4.14,0.36,0.087
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4337,Thick Spider's Silk,9349,38,0.9349,0.9347,0.12,0.56,0.74,0.49,0.1947,52.43,11.5,0.2193
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4338,Mageweave Cloth,4600,5432,0.46,0.2799,0.4,0.08,0.41,0.08,0.0097,12319.79,5080.86,0.4124
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4339,Bolt of Mageweave,25600,1030,2.56,1,3.98,1.59,3.78,1.61,0.0057,712.86,233.07,0.327
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4340,Gray Dye,9000,10,0.9,0.9,0.89,0.01,0.9,0,0.0009,4.14,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4343,Brown Linen Pants,39627,11,3.9627,3.8535,10,30.35,32.88,29.39,0.1552,1.57,0.14,0.0892
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4344,Brown Linen Shirt,174382,6,17.4382,17.4382,17.93,1.85,14.62,0.8,-0.0179,4.29,0.71,0.1655
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4345,Pattern: Red Woolen Boots,249900,2,24.99,24.99,10,27.39,38.63,22.81,0.0813,2.36,0.36,0.1525
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4346,Pattern: Heavy Woolen Cloak,99900,2,9.99,9.99,26.35,83.16,2.25,71.69,-0.1441,4.71,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4347,Pattern: Reinforced Woolen Shoulders,193461,2,19.3461,19.3461,48.35,16.38,42.03,16.71,-0.012,3.79,0.07,0.0185
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4348,Pattern: Phoenix Gloves,0,0,0,0,150,973,2265.33,580.41,0.2063,1.71,0.07,0.0409
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4349,Pattern: Phoenix Pants,0,0,0,0,70,138.8,0.47,111.28,-0.1528,4.14,0.14,0.0338
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4350,Pattern: Spider Silk Slippers,0,0,0,0,1699,1240.74,1289.47,916.99,0.0528,1.21,0.14,0.1157
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4351,Pattern: Shadow Hood,34202674,2,3420.2674,3420.2674,3370.5,749,2959.2,726.86,-0.0071,2.29,0.07,0.0306
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4352,Pattern: Boots of the Enchanter,5313453,1,531.3453,531.3453,530.67,191.5,647.75,179.29,0.0473,0.86,0.07,0.0814
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4353,Pattern: Spider Belt,1550000,1,155,155,60,40.2,109.27,35.67,0.0735,1.57,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4354,Pattern: Rich Purple Silk Shirt,279980000,3,27998,27998,22216,4401.25,26113.05,3999.34,0.0228,4.29,0.14,0.0326
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4356,Pattern: Star Belt,0,0,0,0,46809.97,6174.91,35212.97,2470.84,-0.0271,1.14,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4357,Rough Blasting Powder,4772,32,0.4772,0.4772,0.49,2.94,0.99,2.94,-0.0295,255.64,24.07,0.0942
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4358,Rough Dynamite,1517,68,0.1517,0.1517,0.5,0.83,0.08,0.55,-0.1477,101.29,0.86,0.0085
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4359,Handful of Copper Bolts,39998,85,3.9998,3.9998,1.47,0.97,0.75,0.62,-0.0883,35.79,7.5,0.2096
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4360,Rough Copper Bomb,25000,40,2.5,2.4999,3.18,27.13,0.1,21.81,-0.2017,48.57,4,0.0824
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4361,Bent Copper Tube,19900,1,1.99,1.99,14.8,2.5,8.4,0.76,-0.0578,4.43,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4362,Rough Boomstick,0,0,0,0,1.51,4.95,2.57,4.37,-0.0445,8.86,1.93,0.2178
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4364,Coarse Blasting Powder,539,5,0.0539,0.0539,0.08,0.06,0.14,0.05,0.0981,95.14,26.93,0.2831
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4365,Coarse Dynamite,40916,48,4.0916,4.0916,0.5,480.15,0.3,309.79,-0.2112,48.21,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4366,Target Dummy,84000,41,8.4,8.4,55,48.63,39.05,50.05,-0.0298,40.93,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4368,Flying Tiger Goggles,200000,6,20,20,15.89,25.29,11.91,25.21,-0.0613,7,0.36,0.0514
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4369,Deadly Blunderbuss,0,0,0,0,14.5,0.61,10.5,0.41,-0.0387,0.57,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4370,Large Copper Bomb,0,0,0,0,1.25,0.49,0.49,0.06,-0.0946,2.29,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4371,Bronze Tube,0,0,0,0,3.84,1.78,1.04,1.15,-0.0973,84.43,17.71,0.2098
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4375,Whirring Bronze Gizmo,60000,29,6,6,6,81.64,65.53,78.81,0.176,34.5,6.86,0.1988
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4377,Heavy Blasting Powder,0,0,0,0,2.1,11.42,0.75,9.86,-0.1517,147.64,51.5,0.3488
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4379,Silver-Plated Shotgun,0,0,0,0,10,0,10,0,0,0.64,0.21,0.3281
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4380,Big Bronze Bomb,0,0,0,0,0.29,0,0.29,0,0,2.57,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4382,Bronze Framework,0,0,0,0,24.3,32.57,13.74,32.53,-0.0712,27.43,8.5,0.3099
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4384,Explosive Sheep,166666,15,16.6666,16.6,26.03,47.38,43.55,47.47,0.0173,17.93,2.64,0.1472
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4387,Iron Strut,79999,9,7.9999,7.9999,1,3.88,6.89,2.89,0.1913,57.86,9,0.1555
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4389,Gyrochronatom,10000,55,1,1,1.13,2.78,3.8,2.49,0.0948,107.21,19.14,0.1785
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4390,Iron Grenade,6000,34,0.6,0.6,39.57,2474.04,0.54,2307.18,-0.1781,51.29,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4391,Compact Harvest Reaper Kit,90000,1,9,9,15,7.57,6.75,3.55,-0.1296,0.43,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4394,Big Iron Bomb,0,0,0,0,35,85.83,11.25,64.5,-0.1557,17.71,3.21,0.1813
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4400,Heavy Stock,500000,9,50,50,100,16.67,80,14.3,-0.0275,1.5,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4401,Mechanical Squirrel Box,0,0,0,0,30,7.31,36.13,7.48,0.0156,2.14,0.29,0.1355
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4402,Small Flame Sac,0,0,0,0,20,1.16,18.88,0.76,-0.0272,0.64,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4404,Silver Contact,99499,222,9.95,9.95,19.95,11.01,14.69,11.12,-0.0327,140.14,22,0.157
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4405,Crude Scope,20000,1,2,2,1.96,3.74,0.75,2.31,-0.1503,1.5,0.07,0.0467
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4406,Standard Scope,1416174,8,141.6174,141.6174,49.9,43.5,5.74,38.01,-0.1247,9,0.43,0.0478
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4407,Accurate Scope,2700000,7,270,270,24,137.89,181.04,110,0.154,3,0.21,0.07
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4408,Schematic: Mechanical Squirrel Box,9989998,3,998.9998,998.9998,55.68,376.31,336.82,332.7,0.0525,6.79,0.43,0.0633
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4409,Schematic: Small Seaforium Charge,1499999,4,149.9999,149.9999,21.1,77.18,128.34,57.16,0.1584,5.57,0.36,0.0646
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4410,Schematic: Shadow Goggles,996000,5,99.6,99.6,99.75,63.5,153.53,56.39,0.0792,4.14,0.43,0.1039
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4411,Schematic: Flame Deflector,0,0,0,0,6369.59,145.8,7282.45,82.48,0.0116,0.43,0.07,0.1628
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4412,Schematic: Moonsight Rifle,1200000,1,120,120,598.02,551.82,26.31,201.08,-0.2497,2.43,0.21,0.0864
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4414,Schematic: Portable Bronze Mortar,0,0,0,0,29.25,503.5,518.57,475.84,0.1917,2.93,0.21,0.0717
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4415,Schematic: Craftsman's Monocle,15991924,2,1599.1924,1599.1924,2530.46,426.86,2205.13,388.73,-0.0081,2.79,0.14,0.0502
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4416,Schematic: Goblin Land Mine,997500,1,99.75,99.75,24.42,129.02,135.03,119.65,0.1239,4.79,0.36,0.0752
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4417,Schematic: Large Seaforium Charge,800000,1,80,80,79.8,491.08,88.34,471.55,-0.0885,2.57,0.29,0.1128
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4419,Scroll of Intellect III,0,0,0,0,0.73,0.16,0.46,0.03,-0.035,11.79,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4422,Scroll of Stamina III,0,0,0,0,20,0,20,0,0,1.57,0.14,0.0892
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4425,Scroll of Agility III,0,0,0,0,0.9,0,0.9,0,0,2.14,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4426,Scroll of Strength III,200000,5,20,20,0.9,0.11,0.74,0.03,-0.0349,4.29,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4457,Barbecued Buzzard Wing,0,0,0,0,1.01,0,1.01,0,0,1,0.5,0.5
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4461,Raptor Hide,0,0,0,0,0.5,2.06,2.42,1.86,0.0632,6.86,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4470,Simple Wood,35600,2,3.56,3.56,3.86,0.19,3.48,0.05,-0.0097,82.29,6,0.0729
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4480,Thundering Charm,0,0,0,0,22.04,0,22.04,0,0,0.43,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4481,Cresting Charm,0,0,0,0,22.04,0,22.04,0,0,0.21,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4496,Small Brown Pouch,5999,2,0.5999,0.5999,0.79,0.59,0.86,0.61,0.0009,5,0.64,0.128
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4497,Heavy Brown Bag,0,0,0,0,6,3.22,9.33,2.58,0.086,1,0.21,0.21
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4498,Brown Leather Satchel,0,0,0,0,1,0,1,0,0,0.36,0.14,0.3889
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4499,Huge Brown Sack,210000,1,21,21,9,2.17,8.49,1.96,0.0092,1.36,0.5,0.3676
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4500,Traveler's Backpack,459000,16,45.9,45.9,68.6,32.68,51.97,32.8,-0.0309,13.5,2.21,0.1637
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4536,Shiny Red Apple,0,0,0,0,0.2,25.54,0.15,8.41,-0.1642,7.36,7.14,0.9701
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4539,Goldenbark Apple,0,0,0,0,50.45,55.4,0.67,11.84,-0.2166,3.64,0.71,0.1951
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4540,Tough Hunk of Bread,0,0,0,0,5000,1852.03,6666.67,1283.65,0.1035,4.29,1.43,0.3333
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4541,Freshly Baked Bread,0,0,0,0,0.07,0,0.07,0,0,2.36,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4561,Scalping Tomahawk,250000,2,25,25,21.4,523.11,65.97,520.04,-0.0821,4.07,0.14,0.0344
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4562,Severing Axe,100000,4,10,10,14.9,10.97,16.76,11.33,0.021,5.57,0.57,0.1023
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4564,Spiked Club,1500000,1,150,150,7,40.15,44.86,36.84,0.1725,3.07,0.29,0.0945
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4566,Sturdy Quarterstaff,999999,1,99.9999,99.9999,50,34.47,105.16,11.51,0.1612,0.57,0.29,0.5088
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4567,Merc Sword,0,0,0,0,22.21,40.37,73.68,32.75,0.1433,3,0.43,0.1433
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4568,Grunt Axe,0,0,0,0,7.96,7.33,10.89,7.45,0.0191,3.29,0.64,0.1945
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4569,Staunch Hammer,251223,1,25.1224,25.1224,9.78,20.35,9.13,19.12,-0.0669,2,0.5,0.25
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4570,Birchwood Maul,147014,5,14.7014,14.7014,14.94,1108.66,2.46,995.52,-0.2175,6.79,0.14,0.0206
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4571,War Knife,1200000,2,120,120,28.5,74.38,132.03,53.77,0.1518,2.21,0.43,0.1946
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4575,Medicine Staff,543510,3,54.351,54.351,50,31.09,19.76,26.75,-0.0606,6.93,0.5,0.0722
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4576,Light Bow,990000,1,99,99,12.45,36.66,66.1,25.37,0.1874,1.64,0.14,0.0854
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4577,Compact Shotgun,653400,3,65.34,65.34,19.75,27.18,46.68,24.24,0.0963,4.29,0.36,0.0839
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4593,Bristle Whisker Catfish,0,0,0,0,11.09,6.32,0.11,2.53,-0.1723,5.29,1,0.189
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4595,Junglevine Wine,200000,1,20,20,20,490,15,302.41,-0.1965,1.14,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4597,Recipe: Discolored Healing Potion,0,0,0,0,14017.23,590.29,12977.66,287.79,-0.0075,1,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4599,Cured Ham Steak,542,44,0.0542,0.0541,0.14,0.38,0.01,0.33,-0.1873,74.64,1.43,0.0192
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4601,Soft Banana Bread,0,0,0,0,160,171.46,400,30.19,0.2114,2.36,0.07,0.0297
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4602,Moon Harvest Pumpkin,0,0,0,0,20,0,20,0,0,0.14,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4603,Raw Spotted Yellowtail,0,0,0,0,4.95,2.96,7.87,1.01,0.1862,8,5.57,0.6962
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4605,Red-Speckled Mushroom,9000,1,0.9,0.9,0.9,0,0.89,0,-0.0005,1.21,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4607,Delicious Cave Mold,0,0,0,0,0.01,0,0.01,0,-0.0034,0.79,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4608,Raw Black Truffle,23789,24,2.3789,2.3788,2.03,1.09,3.01,0.65,0.0878,39.21,1.29,0.0329
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4609,Recipe: Barbecued Buzzard Wing,970000,2,97,97,98.01,19.56,106.55,15.72,0.0242,2.93,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4611,Blue Pearl,0,0,0,0,15,9.45,7.5,2.61,-0.0947,2.43,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4625,Firebloom,22500,175,2.25,1.16,0.99,1.23,1.58,1.21,0.0223,451.57,235.14,0.5207
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4656,Small Pumpkin,4000,5,0.4,0.4,18.05,0,18.05,0,0,0.86,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4661,Bright Mantle,0,0,0,0,100,95.49,1.11,84.96,-0.1417,0.64,0.21,0.3281
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4662,Journeyman's Cloak,0,0,0,0,1,0,1,0,0,0.14,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4683,Spellbinder Cloak,0,0,0,0,13.32,3.1,16.47,0.56,0.0428,0.43,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4690,Hunting Belt,0,0,0,0,9,0,9,0,0,0.14,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4695,Burnished Cloak,236610,1,23.661,23.661,23.66,8.12,29.94,6.23,0.0533,2.93,0.29,0.099
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4696,Lapidis Tankard of Tidesippe,198999,1,19.9,19.9,30.5,65.72,25.6,64.59,-0.0652,3,0.07,0.0233
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4697,Burnished Girdle,3992998,4,399.2998,399.2998,399.97,331.31,269.07,308.99,-0.0608,9.14,0.14,0.0153
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4699,Seer's Belt,0,0,0,0,39.9,19.88,44.97,17.22,0.053,6.29,0.71,0.1129
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4701,Inscribed Cloak,752399,3,75.24,75.24,59.37,38.37,105.57,12.72,0.1612,3.14,0.21,0.0669
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4705,Lambent Scale Pauldrons,150000,2,15,15,10,177.2,181.38,154.86,0.1322,2.43,0.14,0.0576
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4706,Lambent Scale Cloak,603024,1,60.3024,60.3024,4.91,18.61,23.74,16.1,0.0971,1.57,0.29,0.1847
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4707,Lambent Scale Girdle,2898281,1,289.8281,289.8281,217.4,165.62,321.05,164.28,0.0446,2.07,0.57,0.2754
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4708,Bright Belt,487293,1,48.7293,48.7293,50,74.85,2.25,51.56,-0.1741,1.5,0.36,0.24
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4709,Forest Leather Mantle,0,0,0,0,98.88,59.85,3.75,28.24,-0.1525,1.43,0.14,0.0979
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,4710,Forest Cloak,0,0,0,0,21.12,179.61,393.33,66.38,0.2323,0.86,0.29,0.3372
